City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Manadhoo,MV,81.12,overcast clouds,5.7667,73.3833,Bon Abri maldives
422,Marsh Harbour,BS,74.16,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
424,Makakilo City,US,77.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
430,Mersing,MY,82.31,scattered clouds,2.4312,103.8405,Timotel Hotel
436,Kavieng,PG,83.79,broken clouds,-2.5744,150.7967,Nusa Island Retreat
437,Dicabisagan,PH,76.57,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
438,Deogarh,IN,72.25,broken clouds,21.5333,84.7333,Amit Henej House
444,Labrea,BR,73.22,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
446,Sola,VU,84.87,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
450,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
454,Red Bluff,US,75.88,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
455,Berbera,SO,72.95,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
457,Richards Bay,ZA,70.25,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
461,Baculin,PH,84.2,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
464,Acarau,BR,77.49,broken clouds,-2.8856,-40.12,castelo pizzaria
466,Ahipara,NZ,78.94,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
470,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
472,Kisangani,CD,71.38,overcast clouds,0.5167,25.2,Grand Ramela Hotel
473,Durban,ZA,78.03,scattered clouds,-29.8579,31.0292,Hilton Durban
478,Quelimane,MZ,75.15,moderate rain,-17.8786,36.8883,Hotel Flamingo
484,Srandakan,ID,76.73,overcast clouds,-7.9386,110.2506,Puri Brata
485,Farafangana,MG,77.54,scattered clouds,-22.8167,47.8333,Miarina
487,Lethem,GY,78.51,scattered clouds,3.3803,-59.7968,Savannah Inn
489,Amaraji,BR,79.45,scattered clouds,-8.3831,-35.4525,Monsieur
496,Tivaouane,SN,75.54,clear sky,14.9515,-16.8129,Palais des hôtes de Tivaouane
498,Alta Floresta,BR,71.44,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
502,Tarakan,ID,80.37,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
503,Longhua,CN,72.9,broken clouds,23.6137,114.1919,Huadu Hotel
505,De Aar,ZA,71.13,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
511,Teahupoo,PF,76.53,broken clouds,-17.8333,-149.2667,Vanira Lodge
515,Cassilandia,BR,70.83,clear sky,-19.1133,-51.7342,Delirius Motel
516,Tondano,ID,78.89,broken clouds,1.3038,124.9112,Villa Bella
519,Gondanglegi,ID,77.68,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
523,Talara,PE,72.28,clear sky,-4.5772,-81.2719,Hostal Oro Negro
524,Dzaoudzi,YT,78.69,broken clouds,-12.7887,45.2699,Le Rocher
525,Ampanihy,MG,75.04,scattered clouds,-24.7,44.75,Angora Hotel
526,Bissau,GW,72.25,clear sky,11.8636,-15.5977,Hotel Ancar
527,Sao Gabriel Da Cachoeira,BR,71.82,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
532,Martapura,ID,83.35,heavy intensity rain,-3.4167,114.85,Montana Hotel Syariah
534,Lufilufi,WS,83.98,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
535,Kirakira,SB,80.96,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
542,Meulaboh,ID,82.87,overcast clouds,4.1363,96.1285,Kost Pria
543,Caravelas,BR,75.22,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
544,Sangre Grande,TT,75.16,broken clouds,10.5835,-61.1177,Lotus drive
545,Maragogi,BR,77.47,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
552,Ixtapa,MX,70.83,clear sky,20.7,-105.2,hotel la terminal
554,Tabuk,PH,79.34,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
570,Montalvo,EC,75.02,light rain,-1.8,-79.3333,Motel Los Laureles
571,Kattivakkam,IN,83.07,few clouds,13.2167,80.3167,Euronova Freezer
575,Broken Hill,AU,82.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
576,Kempsey,AU,72.95,overcast clouds,-31.0833,152.8333,Park Drive Motel
581,Tiarei,PF,82.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
593,Mana,GF,76.1,broken clouds,5.6592,-53.7767,LE SAMANA
599,Port Lincoln,AU,73.72,clear sky,-34.7333,135.8667,Port Lincoln Hotel
604,Yala,TH,79.61,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
607,Maldonado,UY,72.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
610,Papara,BR,79.2,broken clouds,-3.9839,-38.7273,Bela vista Maranguape
611,Santa Maria,BR,70.9,clear sky,-29.6842,-53.8069,Hotel Morotin
617,Sinnamary,GF,75.76,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
619,Urucui,BR,74.93,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
626,Puerto Cabezas,NI,74.77,clear sky,14.0351,-83.3888,Cabaña Caribe
628,Hualmay,PE,70.07,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
630,Bonthe,SL,75.49,few clouds,7.5264,-12.505,Bonthe Holiday Village
635,Kendari,ID,79.41,overcast clouds,-3.945,122.4989,Hotel Wixel
636,Guarapari,BR,73.29,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
645,Itarema,BR,77.63,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
650,Candido Mendes,BR,75.61,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
653,Finschhafen,PG,81.82,overcast clouds,-6.6024,147.8681,Cossam Guest House
657,Luganville,VU,84.06,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
658,Manokwari,ID,81.63,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
661,San Vicente,AR,72.3,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
663,Faanui,PF,82.22,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
666,Puerto Colombia,CO,80.69,few clouds,10.9878,-74.9547,Hotel El Emigrante
668,Acapulco,MX,75.7,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
