City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cidreira,BR,2022-02-11 00:13:12,-30.1811,-50.2056,74.43,81,6,18.9
67,Aykhal,RU,2022-02-11 00:13:12,66.0,111.5,-3.59,99,99,5.14
68,Alcudia,ES,2022-02-11 00:13:13,39.8532,3.1214,47.37,75,0,2.57
69,Ambilobe,MG,2022-02-11 00:13:13,-13.2,49.05,73.4,98,100,3.85
70,Acapulco,MX,2022-02-11 00:12:28,16.8634,-99.8901,80.42,74,75,4.61
71,Thessalon,CA,2022-02-11 00:13:14,46.2501,-83.5666,21.69,93,77,7.9
72,Dingle,PH,2022-02-11 00:08:37,10.9995,122.6711,77.41,81,98,10.18
73,Ahipara,NZ,2022-02-11 00:13:14,-35.1667,173.1667,78.04,83,98,9.91
74,Canutama,BR,2022-02-11 00:13:15,-6.5339,-64.3831,76.01,89,73,2.08
75,Biled,RO,2022-02-11 00:13:15,45.8864,20.9589,38.98,83,20,4.88
76,Coihaique,CL,2022-02-11 00:08:40,-45.5752,-72.0662,52.41,43,20,6.91
77,Nuuk,GL,2022-02-11 00:10:56,64.1835,-51.7216,29.01,74,75,20.71
78,Ponnampet,IN,2022-02-11 00:13:16,12.15,75.9333,57.92,59,34,3.69
79,Lompoc,US,2022-02-11 00:13:16,34.6391,-120.4579,83.12,33,0,4.38
80,Guymon,US,2022-02-11 00:13:16,36.6828,-101.4816,58.95,24,0,12.66
81,Huilong,CN,2022-02-11 00:13:17,31.8111,121.655,47.03,77,86,6.71
82,Bonavista,CA,2022-02-11 00:13:17,48.6499,-53.1147,34.12,86,11,11.63
83,Nesoddtangen,NO,2022-02-11 00:13:18,59.8655,10.6594,35.47,59,44,3.78
84,Saint George,US,2022-02-11 00:11:29,37.1041,-113.5841,68.47,27,0,3.44
85,New Norfolk,AU,2022-02-11 00:14:18,-42.7826,147.0587,65.75,36,55,1.99
86,Harper,LR,2022-02-11 00:04:39,4.375,-7.7169,78.98,90,4,7.99
87,Cabedelo,BR,2022-02-11 00:04:32,-6.9811,-34.8339,81.27,74,12,13.8
88,Cherskiy,RU,2022-02-11 00:14:19,68.75,161.3,-32.73,98,100,6.58
89,Truth Or Consequences,US,2022-02-11 00:14:19,33.1284,-107.2528,62.83,17,0,4.61
90,Salamiyah,SY,2022-02-11 00:14:20,35.0113,37.0532,42.53,89,58,6.06
91,Port Moresby,PG,2022-02-11 00:04:50,-9.4431,147.1797,84.56,56,100,5.48
92,Chake Chake,TZ,2022-02-11 00:14:20,-5.2459,39.7666,77.45,81,99,8.59
93,Port Lincoln,AU,2022-02-11 00:08:07,-34.7333,135.8667,65.77,62,7,16.02
94,Ixtapa,MX,2022-02-11 00:01:50,20.7,-105.2,74.23,75,0,4.0
95,Puerto Baquerizo Moreno,EC,2022-02-11 00:14:21,-0.9,-89.6,74.66,81,96,6.87
96,Port Hawkesbury,CA,2022-02-11 00:14:21,45.6169,-61.3485,34.92,84,22,3.0
97,Severo-Kurilsk,RU,2022-02-11 00:06:03,50.6789,156.125,28.71,72,84,7.25
98,Launceston,AU,2022-02-11 00:14:22,-41.45,147.1667,71.15,41,8,11.5
99,Vardo,NO,2022-02-11 00:14:23,70.3705,31.1107,24.49,84,80,15.48
100,Pljevlja,ME,2022-02-11 00:14:23,43.3333,19.3333,28.94,83,3,4.43
101,Longyearbyen,SJ,2022-02-11 00:14:24,78.2186,15.6401,22.84,74,75,3.44
102,Ponta Do Sol,PT,2022-02-11 00:06:00,32.6667,-17.1,67.71,48,100,3.78
103,Izumo,JP,2022-02-11 00:14:24,35.3667,132.7667,42.51,81,92,0.96
104,Rovaniemi,FI,2022-02-11 00:14:24,66.5,25.7167,24.21,100,100,9.22
105,Araouane,ML,2022-02-11 00:09:42,18.9048,-3.5265,62.98,19,12,12.55
106,Saskylakh,RU,2022-02-11 00:14:25,71.9167,114.0833,3.16,93,99,12.48
107,Abu Samrah,SY,2022-02-11 00:14:25,35.3029,37.1841,43.79,85,70,6.44
108,Bethel,US,2022-02-11 00:14:26,41.3712,-73.414,46.49,56,100,5.75
109,Caravelas,BR,2022-02-11 00:07:13,-17.7125,-39.2481,77.31,87,3,6.2
110,Pahrump,US,2022-02-11 00:13:29,36.2083,-115.9839,74.25,19,0,11.99
111,East London,ZA,2022-02-11 00:14:26,-33.0153,27.9116,70.02,82,23,4.45
112,Luderitz,NA,2022-02-11 00:14:27,-26.6481,15.1594,71.28,58,28,16.46
113,Port Elizabeth,ZA,2022-02-11 00:14:27,-33.918,25.5701,64.13,85,24,4.07
114,Ribeira Grande,PT,2022-02-11 00:05:58,38.5167,-28.7,59.85,73,100,6.78
115,Ilulissat,GL,2022-02-11 00:14:28,69.2167,-51.1,-2.18,55,100,1.14
116,Lebu,CL,2022-02-11 00:07:14,-37.6167,-73.65,57.97,73,31,26.46
117,Anahuac,MX,2022-02-11 00:14:28,27.2333,-100.15,71.1,46,100,7.18
118,Buarcos,PT,2022-02-11 00:14:28,40.166,-8.8768,52.79,80,91,2.59
119,Chokurdakh,RU,2022-02-11 00:14:29,70.6333,147.9167,-28.01,91,44,8.81
120,Kutum,SD,2022-02-11 00:14:29,14.2,24.6667,52.63,25,0,7.49
121,Aranos,NA,2022-02-11 00:14:29,-24.1333,19.1167,73.17,59,91,3.47
122,Jamestown,US,2022-02-11 00:14:30,42.097,-79.2353,33.3,68,100,11.5
123,Hilo,US,2022-02-11 00:14:30,19.7297,-155.09,80.33,68,0,9.22
124,Saldanha,ZA,2022-02-11 00:14:30,-33.0117,17.9442,59.05,84,0,11.01
