City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Taoudenni,ML,22.6783,-3.9836,58.19,27,5,10.13,clear sky
79,Hilo,US,19.7297,-155.09,76.73,71,100,5.75,overcast clouds
80,Lebu,CL,-37.6167,-73.65,56.79,83,0,15.9,clear sky
81,Katsuura,JP,35.1333,140.3,44.71,48,61,6.69,broken clouds
82,Barrow,US,71.2906,-156.7887,-36.38,100,0,6.91,haze
83,Isangel,VU,-19.55,169.2667,87.91,79,75,6.91,broken clouds
84,Lavrentiya,RU,65.5833,-171.0,-25.08,93,9,8.05,clear sky
85,Albany,US,42.6001,-73.9662,49.73,57,100,1.01,overcast clouds
86,Kodiak,US,57.79,-152.4072,36.91,93,100,5.75,mist
87,Necochea,AR,-38.5473,-58.7368,55.04,61,91,11.05,overcast clouds
88,Paternion,AT,46.7142,13.6361,33.33,87,4,4.5,clear sky
89,Qaanaaq,GL,77.484,-69.3632,-23.06,50,0,6.91,clear sky
90,Sur,OM,22.5667,59.5289,68.97,50,0,3.6,clear sky
91,Biak,ID,-0.9131,122.8766,80.26,78,92,5.3,overcast clouds
92,Megion,RU,61.0296,76.1136,-10.98,99,48,10.92,scattered clouds
93,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.73,89,40,3.44,scattered clouds
94,Fort Morgan,US,40.2503,-103.8,29.05,59,100,17.27,overcast clouds
95,Nome,US,64.5011,-165.4064,1.47,55,0,13.8,clear sky
96,Leningradskiy,RU,69.3833,178.4167,-19.95,98,94,4.88,overcast clouds
97,Butaritari,KI,3.0707,172.7902,82.36,77,90,16.8,light rain
98,Totness,SR,5.8833,-56.3167,74.97,90,42,8.32,scattered clouds
99,Niquelandia,BR,-14.4739,-48.4597,69.12,92,95,1.16,overcast clouds
100,Quatre Cocos,MU,-20.2078,57.7625,79.09,74,66,5.35,broken clouds
101,Kahului,US,20.8947,-156.47,78.82,69,20,8.05,few clouds
102,Sangar,RU,63.9242,127.4739,-25.02,97,99,1.14,overcast clouds
103,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,3.44,broken clouds
104,Abbeville,FR,50.1,1.8333,35.49,88,99,7.27,overcast clouds
105,Kalmunai,LK,7.4167,81.8167,77.97,87,98,5.35,overcast clouds
106,Atambua,ID,-9.1061,124.8925,81.09,77,93,2.37,overcast clouds
107,Vestmannaeyjar,IS,63.4427,-20.2734,32.61,69,100,3.27,overcast clouds
108,Vaureal,FR,49.0333,2.0333,36.37,93,100,3.44,overcast clouds
109,Lakatoro,VU,-16.0999,167.4164,84.16,75,94,8.75,overcast clouds
110,Skelleftea,SE,64.7507,20.9528,16.16,92,54,8.05,broken clouds
111,Cherskiy,RU,68.75,161.3,-31.45,99,100,6.55,overcast clouds
112,Puerto Ayora,EC,-0.7393,-90.3518,72.55,100,86,5.99,light rain
113,Rio Grande,BR,-32.035,-52.0986,75.31,85,16,15.23,few clouds
114,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,3.44,clear sky
115,Allapalli,IN,19.4167,80.0667,73.83,24,100,3.74,overcast clouds
116,Monster,NL,52.0258,4.175,37.02,74,40,11.5,scattered clouds
117,Bluff,NZ,-46.6,168.3333,59.81,60,58,16.91,broken clouds
118,Elko,US,41.0002,-115.5012,38.23,45,90,5.99,overcast clouds
119,Pisco,PE,-13.7,-76.2167,69.85,73,0,11.5,clear sky
120,Iwanai,JP,42.9744,140.5089,34.12,77,70,3.47,broken clouds
121,Leshan,CN,29.5623,103.7639,49.41,66,97,4.25,overcast clouds
122,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.14,78,18,5.01,light rain
123,Tateyama,JP,34.9833,139.8667,48.47,45,57,4.56,broken clouds
124,Yellowknife,CA,62.456,-114.3525,-13.45,84,100,0.0,light snow
125,Pangoa,PE,-12.1167,-73.0,69.06,100,100,1.54,overcast clouds
126,Chokurdakh,RU,70.6333,147.9167,-2.92,95,100,13.58,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,71.65,88,14,3.67,few clouds
128,Port Hawkesbury,CA,45.6169,-61.3485,36.7,90,40,5.75,scattered clouds
129,Emerald,AU,-23.5333,148.1667,90.34,43,0,5.75,clear sky
130,Dawson,US,31.7735,-84.4466,53.29,50,85,5.55,overcast clouds
131,Fallon,US,39.4735,-118.7774,48.45,55,20,4.61,few clouds
132,Nikolskoye,RU,59.7035,30.7861,24.69,93,28,7.78,scattered clouds
133,Pedernales,DO,18.0384,-71.744,76.77,60,0,6.24,clear sky
134,Leavenworth,US,39.2333,-95.0336,30.34,56,1,1.99,clear sky
135,Synya,RU,65.3718,58.0387,8.22,93,100,7.29,overcast clouds
136,Hovd,MN,48.0056,91.6419,-8.54,83,54,1.9,broken clouds
137,Iqaluit,CA,63.7506,-68.5145,-13.27,77,20,4.61,few clouds
138,Mahebourg,MU,-20.4081,57.7,79.25,94,40,5.75,light intensity shower rain
139,Chuy,UY,-33.6971,-53.4616,71.1,88,47,8.57,scattered clouds
140,Marzuq,YE,14.4,46.4667,62.17,35,12,1.79,few clouds
141,Provideniya,RU,64.3833,-173.3,-15.38,90,4,8.68,clear sky
142,Veranopolis,BR,-28.9361,-51.5494,67.91,80,8,3.4,clear sky
143,Birjand,IR,32.8663,59.2211,39.67,41,0,6.91,clear sky
144,Porbandar,IN,21.6422,69.6093,64.38,39,1,4.61,clear sky
145,Upernavik,GL,72.7868,-56.1549,-9.02,83,100,16.31,overcast clouds
146,Vardo,NO,70.3705,31.1107,30.58,72,100,23.53,overcast clouds
147,Luena,AO,-11.7833,19.9167,61.32,94,100,1.3,overcast clouds
148,Betare Oya,CM,5.6,14.0833,65.59,19,8,4.99,clear sky
149,Roura,GF,4.7263,-52.3274,76.96,88,100,6.91,overcast clouds
150,Candelaria,PH,13.9311,121.4233,81.39,67,100,11.01,overcast clouds
151,Upington,ZA,-28.4478,21.2561,71.98,60,0,4.61,clear sky
152,Nanortalik,GL,60.1432,-45.2371,29.59,77,100,13.24,overcast clouds
153,Ponta Do Sol,PT,32.6667,-17.1,64.06,69,8,5.46,clear sky
154,Carnarvon,AU,-24.8667,113.6333,87.87,66,3,16.11,clear sky
155,Cajaruro,PE,-5.7364,-78.4256,72.91,84,95,4.23,light rain
156,Brae,GB,60.3964,-1.353,42.71,90,100,24.79,overcast clouds
157,Nishihara,JP,26.1842,127.7558,73.06,73,100,17.27,overcast clouds
158,Aksay,RU,47.26,39.87,41.25,82,100,15.99,overcast clouds
159,Lorengau,PG,-2.0226,147.2712,83.25,72,99,1.1,overcast clouds
160,Ndele,CF,8.4109,20.6473,69.33,20,61,6.76,broken clouds
161,Sibolga,ID,1.7427,98.7792,77.85,80,100,2.15,overcast clouds
162,Ponta Delgada,PT,37.7333,-25.6667,61.5,67,75,9.22,broken clouds
163,Aksu,CN,41.1231,80.2644,30.43,35,3,2.1,clear sky
164,Galle,LK,6.0367,80.217,80.74,77,99,3.6,overcast clouds
165,Turbat,PK,26.0023,63.044,64.38,45,0,0.54,clear sky
166,Port Keats,AU,-14.25,129.55,88.34,67,69,6.96,broken clouds
167,Torrington,US,41.8007,-73.1212,47.35,71,90,3.0,overcast clouds
168,Port Hardy,CA,50.6996,-127.4199,42.76,93,20,3.44,few clouds
169,Fuerte Olimpo,PY,-21.0415,-57.8738,77.56,67,6,4.59,clear sky
170,Tabou,CI,4.423,-7.3528,77.43,89,5,4.5,clear sky
171,Morgan City,US,29.6994,-91.2068,52.0,87,0,3.44,clear sky
172,Sarangani,PH,5.4033,125.4636,81.88,77,100,20.65,overcast clouds
173,Vaitape,PF,-16.5167,-151.75,82.22,70,100,13.33,overcast clouds
174,Kawalu,ID,-7.3817,108.2082,85.06,61,98,1.41,heavy intensity rain
175,Almunecar,ES,36.7339,-3.6907,55.96,75,15,1.99,few clouds
176,Luancheng,CN,37.8792,114.6517,35.76,56,100,4.92,overcast clouds
177,Tena,EC,-0.9833,-77.8167,69.46,98,98,2.62,moderate rain
178,Sao Filipe,CV,14.8961,-24.4956,79.3,46,98,14.41,overcast clouds
179,Dikson,RU,73.5069,80.5464,3.13,80,100,27.78,overcast clouds
180,Waipawa,NZ,-41.4122,175.5153,62.46,99,100,13.87,light rain
181,Souillac,MU,-20.5167,57.5167,79.36,94,40,5.75,light intensity shower rain
182,Aswan,EG,24.0934,32.907,49.3,57,0,5.75,clear sky
183,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,42,0,2.24,clear sky
184,Kapaa,US,22.0752,-159.319,78.78,68,40,6.91,scattered clouds
185,Kavaratti,IN,10.5669,72.642,80.35,75,34,8.37,scattered clouds
186,Novyy Nekouz,RU,57.9029,38.07,21.67,92,93,9.33,overcast clouds
187,Chunhuhub,MX,19.55,-88.6833,66.78,99,18,2.44,few clouds
188,Samarai,PG,-10.6167,150.6667,83.26,60,35,15.59,scattered clouds
189,Lujiang,CN,31.2581,117.2817,39.25,95,100,2.19,overcast clouds
190,Khuzhir,RU,53.1939,107.3397,-2.92,83,89,2.62,overcast clouds
191,Uniontown,US,39.9001,-79.7164,54.43,39,99,13.65,overcast clouds
192,Goundam,ML,16.4145,-3.6708,61.39,20,19,10.38,few clouds
193,Valence,ES,39.4697,-0.3774,49.59,79,0,4.61,clear sky
194,Pevek,RU,69.7008,170.3133,-29.81,100,98,6.13,overcast clouds
